k,pattern,observed_count,observed_share,enrichment_ratio,total_ngrams,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,rank,book,run_label,stream_type
3,pashta munah zaqef_qatan,679,0.03262854,38.74465,20810,17.525,4.27560275,23,154.709181,True,0.00497512,0,200,1,genesis,main,full
3,tipeha meteg sof_pasuq,820,0.03940413,28.893587,20810,28.38,5.37681604,27,147.228396,True,0.00497512,0,200,2,genesis,main,full
3,merkha meteg sof_pasuq,624,0.02998558,27.1777,20810,22.96,4.73609045,24,126.90636,True,0.00497512,0,200,3,genesis,main,full
3,mahapakh pashta zaqef_qatan,300,0.01441615,54.151625,20810,5.54,2.38260024,12,123.587665,True,0.00497512,0,200,4,genesis,main,full
3,darga tevir tipeha,119,0.0057184,111.737089,20810,1.065,0.98265101,5,120.017176,True,0.00497512,0,200,5,genesis,main,full
3,sof_pasuq qadma geresh,81,0.00389236,190.588235,20810,0.425,0.6831607,4,117.944431,True,0.00497512,0,200,6,genesis,main,full
3,tipeha munah atnah,568,0.02729457,23.485632,20810,24.185,4.77122605,23,113.978041,True,0.00497512,0,200,7,genesis,main,full
3,tevir merkha tipeha,340,0.0163383,33.317001,20810,10.205,3.29198433,17,100.181218,True,0.00497512,0,200,8,genesis,main,full
3,zaqef_qatan merkha tipeha,533,0.02561269,17.146534,20810,31.085,5.39008722,26,93.118159,True,0.00497512,0,200,9,genesis,main,full
3,darga tevir merkha,78,0.0037482,100.0,20810,0.78,0.8516021,5,90.676151,True,0.00497512,0,200,10,genesis,main,full
3,revia mahapakh pashta,121,0.00581451,63.185379,20810,1.915,1.31392809,7,90.632814,True,0.00497512,0,200,11,genesis,main,full
3,merkha tipeha atnah,453,0.02176838,18.618989,20810,24.33,4.90831517,24,87.335468,True,0.00497512,0,200,12,genesis,main,full
3,tipeha merkha meteg,627,0.03012975,13.979933,20810,44.85,6.67986549,32,87.149958,True,0.00497512,0,200,13,genesis,main,full
3,qadma mahapakh pashta,100,0.00480538,76.335878,20810,1.31,1.13593651,6,86.879855,True,0.00497512,0,200,14,genesis,main,full
3,paseq munah revia,48,0.00230658,128.0,20810,0.375,0.57970275,4,82.154173,True,0.00497512,0,200,15,genesis,main,full
3,sof_pasuq darga tevir,62,0.00297934,111.711712,20810,0.555,0.74818037,5,82.125918,True,0.00497512,0,200,16,genesis,main,full
3,mahapakh pashta munah,237,0.01138876,30.44316,20810,7.785,2.88450635,15,79.464204,True,0.00497512,0,200,17,genesis,main,full
3,sof_pasuq mahapakh pashta,166,0.00797693,36.165577,20810,4.59,2.07204412,12,77.89892,True,0.00497512,0,200,18,genesis,main,full
3,merkha tipeha meteg,501,0.02407496,11.258427,20810,44.5,6.27189632,32,72.785004,True,0.00497512,0,200,19,genesis,main,full
3,munah zaqef_qatan tipeha,453,0.02176838,14.948028,20810,30.305,5.81299662,28,72.715508,True,0.00497512,0,200,20,genesis,main,full
3,meteg sof_pasuq qadma,153,0.00735223,34.420697,20810,4.445,2.10931769,11,70.427988,True,0.00497512,0,200,21,genesis,main,full
3,yetiv munah zaqef_qatan,59,0.00283518,75.159236,20810,0.785,0.8674893,5,67.107456,True,0.00497512,0,200,22,genesis,main,full
3,munah zaqef_qatan merkha,354,0.01701105,14.505224,20810,24.405,5.16958393,25,63.756582,True,0.00497512,0,200,23,genesis,main,full
3,gershayim mahapakh pashta,38,0.00182605,102.702703,20810,0.37,0.62050393,4,60.644257,True,0.00497512,0,200,24,genesis,main,full
3,meteg sof_pasuq mahapakh,179,0.00860163,23.914496,20810,7.485,2.85667252,17,60.040134,True,0.00497512,0,200,25,genesis,main,full
3,qadma geresh munah,48,0.00230658,76.190476,20810,0.63,0.80394755,5,58.921755,True,0.00497512,0,200,26,genesis,main,full
3,qadma geresh mahapakh,30,0.00144161,105.263158,20810,0.285,0.53404214,4,55.641677,True,0.00497512,0,200,27,genesis,main,full
3,meteg sof_pasuq munah,284,0.01364728,12.5,20810,22.72,4.7194242,25,55.362686,True,0.00497512,0,200,28,genesis,main,full
3,atnah mahapakh pashta,110,0.00528592,23.887079,20810,4.605,1.97190697,11,53.448262,True,0.00497512,0,200,29,genesis,main,full
3,mahapakh pashta pashta,125,0.00600673,23.496241,20810,5.32,2.32478453,12,51.48004,True,0.00497512,0,200,30,genesis,main,full
3,munah paseq munah,52,0.0024988,45.814978,20810,1.135,1.04028166,6,48.895412,True,0.00497512,0,200,31,genesis,main,full
3,geresh mahapakh pashta,40,0.00192215,46.242775,20810,0.865,0.84280878,4,46.434021,True,0.00497512,0,200,32,genesis,main,full
3,atnah merkha tipeha,242,0.01162902,10.151007,20810,23.84,4.79262415,25,45.519948,True,0.00497512,0,200,33,genesis,main,full
3,munah revia mahapakh,72,0.00345988,28.346457,20810,2.54,1.52645021,8,45.504268,True,0.00497512,0,200,34,genesis,main,full
3,geresh revia pashta,32,0.00153772,54.237288,20810,0.59,0.70311582,4,44.672583,True,0.00497512,0,200,35,genesis,main,full
3,sof_pasuq munah revia,100,0.00480538,18.993352,20810,5.265,2.12777162,10,44.523105,True,0.00497512,0,200,36,genesis,main,full
3,zaqef_gadol merkha tipeha,78,0.0037482,27.956989,20810,2.79,1.71481865,10,43.858865,True,0.00497512,0,200,37,genesis,main,full
3,meteg sof_pasuq darga,70,0.00336377,28.92562,20810,2.42,1.54451534,9,43.754826,True,0.00497512,0,200,38,genesis,main,full
3,revia qadma mahapakh,28,0.00134551,64.367816,20810,0.435,0.63860322,3,43.164518,True,0.00497512,0,200,39,genesis,main,full
3,revia yetiv munah,22,0.00105718,77.192982,20810,0.285,0.52454814,3,41.397535,True,0.00497512,0,200,40,genesis,main,full
3,revia pashta munah,98,0.00470927,17.883212,20810,5.48,2.24830478,14,41.151004,True,0.00497512,0,200,41,genesis,main,full
3,pashta zaqef_qatan merkha,174,0.00836136,9.844413,20810,17.675,3.91227613,22,39.957558,True,0.00497512,0,200,42,genesis,main,full
3,munah revia pashta,99,0.00475733,17.113224,20810,5.785,2.36149493,12,39.472878,True,0.00497512,0,200,43,genesis,main,full
3,geresh munah revia,40,0.00192215,44.692737,20810,0.895,0.99948479,6,39.125158,True,0.00497512,0,200,44,genesis,main,full
3,zaqef_qatan tipeha atnah,186,0.00893801,9.959839,20810,18.675,4.27912721,25,39.1026,True,0.00497512,0,200,45,genesis,main,full
3,meteg sof_pasuq merkha,204,0.00980298,8.69936,20810,23.45,4.8149161,25,37.498057,True,0.00497512,0,200,46,genesis,main,full
3,meteg sof_pasuq zaqef_gadol,50,0.00240269,28.248588,20810,1.77,1.35509461,6,35.591611,True,0.00497512,0,200,47,genesis,main,full
3,pashta pashta munah,159,0.00764056,9.9375,20810,16.0,4.06603779,20,35.169373,True,0.00497512,0,200,48,genesis,main,full
3,pashta zaqef_qatan tipeha,190,0.00913023,8.845438,20810,21.48,4.83804022,26,34.832286,True,0.00497512,0,200,49,genesis,main,full
3,merkha tipeha merkha,246,0.01182124,6.242071,20810,39.41,5.94716266,30,34.737573,True,0.00497512,0,200,50,genesis,main,full
4,tipeha merkha meteg sof_pasuq,608,0.02921813,181.763827,20809,3.345,1.8419934,11,328.261219,True,0.00497512,0,200,1,genesis,main,full
4,mahapakh pashta munah zaqef_qatan,226,0.01086069,334.814815,20809,0.675,0.82020649,5,274.717405,True,0.00497512,0,200,2,genesis,main,full
4,merkha tipeha meteg sof_pasuq,455,0.02186554,145.833333,20809,3.12,1.81717103,11,248.672245,True,0.00497512,0,200,3,genesis,main,full
4,meteg sof_pasuq mahapakh pashta,166,0.00797732,272.131148,20809,0.61,0.74880139,4,220.872988,True,0.00497512,0,200,4,genesis,main,full
4,munah zaqef_qatan merkha tipeha,331,0.01590658,96.081277,20809,3.445,2.00175175,11,163.634177,True,0.00497512,0,200,5,genesis,main,full
4,merkha tipeha munah atnah,262,0.01259071,92.579505,20809,2.83,1.5886216,9,163.14143,True,0.00497512,0,200,6,genesis,main,full
4,pashta munah zaqef_qatan tipeha,244,0.0117257,91.729323,20809,2.66,1.60539292,8,150.330799,True,0.00497512,0,200,7,genesis,main,full
4,zaqef_qatan merkha tipeha atnah,215,0.01033207,93.886463,20809,2.29,1.59959166,9,132.977688,True,0.00497512,0,200,8,genesis,main,full
4,revia pashta munah zaqef_qatan,88,0.00422894,191.304348,20809,0.46,0.67875144,4,128.972102,True,0.00497512,0,200,9,genesis,main,full
4,sof_pasuq mahapakh pashta zaqef_qatan,82,0.0039406,197.590361,20809,0.415,0.65184315,4,125.160477,True,0.00497512,0,200,10,genesis,main,full
4,pashta pashta munah zaqef_qatan,147,0.00706425,103.157895,20809,1.425,1.1880371,6,122.534052,True,0.00497512,0,200,11,genesis,main,full
4,pashta munah zaqef_qatan merkha,190,0.00913066,94.059406,20809,2.02,1.55618397,9,120.795487,True,0.00497512,0,200,12,genesis,main,full
4,meteg sof_pasuq munah revia,100,0.00480561,151.515152,20809,0.66,0.82936072,5,119.779003,True,0.00497512,0,200,13,genesis,main,full
4,mahapakh pashta zaqef_qatan merkha,101,0.00485367,155.384615,20809,0.65,0.8839723,5,113.521656,True,0.00497512,0,200,14,genesis,main,full
4,mahapakh pashta zaqef_qatan tipeha,91,0.00437311,125.517241,20809,0.725,0.83236963,5,108.455423,True,0.00497512,0,200,15,genesis,main,full
4,zaqef_qatan tipeha munah atnah,160,0.00768898,75.117371,20809,2.13,1.46417864,7,107.821543,True,0.00497512,0,200,16,genesis,main,full
4,tipeha meteg sof_pasuq mahapakh,98,0.0047095,94.230769,20809,1.04,0.91793958,5,105.627868,True,0.00497512,0,200,17,genesis,main,full
4,tipeha meteg sof_pasuq qadma,75,0.00360421,128.205128,20809,0.585,0.7248462,4,102.663158,True,0.00497512,0,200,18,genesis,main,full
4,merkha meteg sof_pasuq qadma,68,0.00326782,130.769231,20809,0.52,0.6722048,4,100.386072,True,0.00497512,0,200,19,genesis,main,full
4,merkha tipeha merkha meteg,245,0.01177375,48.228346,20809,5.08,2.39840818,14,100.033014,True,0.00497512,0,200,20,genesis,main,full
4,tevir merkha tipeha atnah,86,0.00413283,128.358209,20809,0.67,0.85718952,5,99.546248,True,0.00497512,0,200,21,genesis,main,full
4,pashta zaqef_qatan merkha tipeha,154,0.00740064,59.805825,20809,2.575,1.54801705,8,97.81869,True,0.00497512,0,200,22,genesis,main,full
4,meteg sof_pasuq merkha tipeha,163,0.00783315,48.224852,20809,3.38,1.71179767,10,93.247002,True,0.00497512,0,200,23,genesis,main,full
4,zaqef_qatan tipeha merkha meteg,184,0.00884233,44.606061,20809,4.125,1.94118935,10,92.662264,True,0.00497512,0,200,24,genesis,main,full
4,zaqef_qatan merkha tipeha meteg,174,0.00836177,43.828715,20809,3.97,1.88863302,12,90.028078,True,0.00497512,0,200,25,genesis,main,full
4,atnah merkha tipeha meteg,155,0.0074487,50.570962,20809,3.065,1.69266078,9,89.761045,True,0.00497512,0,200,26,genesis,main,full
4,zaqef_qatan tipeha meteg sof_pasuq,142,0.00682397,54.198473,20809,2.62,1.66114328,10,83.906068,True,0.00497512,0,200,27,genesis,main,full
4,meteg sof_pasuq munah zaqef_qatan,116,0.00557451,59.793814,20809,1.94,1.37690936,7,82.837696,True,0.00497512,0,200,28,genesis,main,full
4,munah zaqef_qatan tipeha atnah,120,0.00576674,56.338028,20809,2.13,1.42944625,8,82.458504,True,0.00497512,0,200,29,genesis,main,full
4,tipeha meteg sof_pasuq munah,156,0.00749676,50.241546,20809,3.105,1.85774895,11,82.301217,True,0.00497512,0,200,30,genesis,main,full
4,tipeha atnah merkha tipeha,142,0.00682397,44.375,20809,3.2,1.75080742,10,79.277708,True,0.00497512,0,200,31,genesis,main,full
4,atnah tipeha meteg sof_pasuq,114,0.0054784,61.621622,20809,1.85,1.43099221,8,78.372195,True,0.00497512,0,200,32,genesis,main,full
4,atnah mahapakh pashta zaqef_qatan,44,0.00211447,108.641975,20809,0.405,0.5590507,3,77.980405,True,0.00497512,0,200,33,genesis,main,full
4,mahapakh pashta pashta zaqef_qatan,56,0.00269114,104.672897,20809,0.535,0.73585489,4,75.374916,True,0.00497512,0,200,34,genesis,main,full
4,tevir merkha tipeha munah,88,0.00422894,68.75,20809,1.28,1.15684548,6,74.962475,True,0.00497512,0,200,35,genesis,main,full
4,merkha meteg sof_pasuq munah,113,0.00543034,41.929499,20809,2.695,1.48085776,9,74.487235,True,0.00497512,0,200,36,genesis,main,full
4,merkha meteg sof_pasuq mahapakh,78,0.00374838,82.105263,20809,0.95,1.04544958,6,73.70035,True,0.00497512,0,200,37,genesis,main,full
4,tevir merkha tipeha meteg,95,0.00456533,69.090909,20809,1.375,1.29722355,7,72.173374,True,0.00497512,0,200,38,genesis,main,full
4,tipeha atnah mahapakh pashta,58,0.00278726,84.057971,20809,0.69,0.79817631,5,71.801179,True,0.00497512,0,200,39,genesis,main,full
4,tipeha munah atnah merkha,115,0.00552645,41.742287,20809,2.755,1.58033614,9,71.026029,True,0.00497512,0,200,40,genesis,main,full
4,sof_pasuq mahapakh pashta munah,56,0.00269114,94.915254,20809,0.59,0.79058531,5,70.087313,True,0.00497512,0,200,41,genesis,main,full
4,merkha tevir merkha tipeha,64,0.00307559,57.918552,20809,1.105,0.94787517,5,66.353674,True,0.00497512,0,200,42,genesis,main,full
4,zaqef_qatan tevir merkha tipeha,67,0.00321976,66.009852,20809,1.015,0.99484854,6,66.326679,True,0.00497512,0,200,43,genesis,main,full
4,munah zaqef_qatan tipeha meteg,119,0.00571868,32.872928,20809,3.62,1.75241398,10,65.840607,True,0.00497512,0,200,44,genesis,main,full
4,sof_pasuq merkha tipeha atnah,89,0.004277,51.445087,20809,1.73,1.36249107,7,64.051796,True,0.00497512,0,200,45,genesis,main,full
4,tipeha meteg sof_pasuq zaqef_gadol,34,0.00163391,136.0,20809,0.25,0.5281046,4,63.907794,True,0.00497512,0,200,46,genesis,main,full
4,mahapakh pashta pashta munah,52,0.00249892,93.693694,20809,0.555,0.806366,5,63.798573,True,0.00497512,0,200,47,genesis,main,full
4,tevir merkha tipeha merkha,71,0.00341199,57.959184,20809,1.225,1.10019414,6,63.420625,True,0.00497512,0,200,48,genesis,main,full
4,munah atnah mahapakh pashta,47,0.00225864,89.52381,20809,0.525,0.73626451,4,63.122695,True,0.00497512,0,200,49,genesis,main,full
4,tevir tipeha munah atnah,53,0.00254697,76.258993,20809,0.695,0.8339378,5,62.720505,True,0.00497512,0,200,50,genesis,main,full
5,merkha tipeha merkha meteg sof_pasuq,242,0.01163014,654.054054,20808,0.37,0.59571333,3,405.614559,True,0.00497512,0,200,1,genesis,main,full
5,zaqef_qatan tipeha merkha meteg sof_pasuq,176,0.00845829,596.610169,20808,0.295,0.50918696,3,345.069719,True,0.00497512,0,200,2,genesis,main,full
5,pashta munah zaqef_qatan merkha tipeha,175,0.00841023,614.035088,20808,0.285,0.51487911,3,339.332078,True,0.00497512,0,200,3,genesis,main,full
5,munah zaqef_qatan tipeha meteg sof_pasuq,96,0.00461361,400.0,20808,0.24,0.50365498,4,190.130155,True,0.00497512,0,200,4,genesis,main,full
5,munah zaqef_qatan merkha tipeha meteg,110,0.00528643,293.333333,20808,0.375,0.57970275,4,189.105538,True,0.00497512,0,200,5,genesis,main,full
5,munah zaqef_qatan tipeha munah atnah,95,0.00456555,333.333333,20808,0.285,0.53404214,3,177.354919,True,0.00497512,0,200,6,genesis,main,full
5,merkha tipeha meteg sof_pasuq munah,93,0.00446943,338.181818,20808,0.275,0.52988574,4,174.990556,True,0.00497512,0,200,7,genesis,main,full
5,atnah tipeha merkha meteg sof_pasuq,85,0.00408497,326.923077,20808,0.26,0.50365498,3,168.250098,True,0.00497512,0,200,8,genesis,main,full
5,tipeha merkha meteg sof_pasuq munah,110,0.00528643,234.042553,20808,0.47,0.65670106,4,166.788219,True,0.00497512,0,200,9,genesis,main,full
5,munah zaqef_qatan tipeha merkha meteg,115,0.00552672,255.555556,20808,0.45,0.71417802,5,160.394182,True,0.00497512,0,200,10,genesis,main,full
5,atnah merkha tipeha merkha meteg,87,0.00418108,232.0,20808,0.375,0.5709685,3,151.715901,True,0.00497512,0,200,11,genesis,main,full
5,tipeha munah atnah merkha tipeha,89,0.0042772,237.333333,20808,0.375,0.61339733,4,144.482208,True,0.00497512,0,200,12,genesis,main,full
5,tipeha atnah merkha tipeha meteg,92,0.00442138,221.686747,20808,0.415,0.63623816,4,143.947669,True,0.00497512,0,200,13,genesis,main,full
5,merkha tipeha atnah merkha tipeha,77,0.0037005,208.108108,20808,0.37,0.56984526,3,134.475103,True,0.00497512,0,200,14,genesis,main,full
5,tipeha meteg sof_pasuq merkha tipeha,90,0.00432526,197.802198,20808,0.455,0.68580364,4,130.569444,True,0.00497512,0,200,15,genesis,main,full
5,tipeha merkha meteg sof_pasuq merkha,83,0.00398885,195.294118,20808,0.425,0.65307545,4,126.440215,True,0.00497512,0,200,16,genesis,main,full
5,merkha meteg sof_pasuq merkha tipeha,68,0.00326797,191.549296,20808,0.355,0.53891292,3,125.521207,True,0.00497512,0,200,17,genesis,main,full
5,pashta munah zaqef_qatan tipeha munah,64,0.00307574,250.980392,20808,0.255,0.51115693,4,124.707299,True,0.00497512,0,200,18,genesis,main,full
5,pashta munah zaqef_qatan tipeha merkha,63,0.00302768,196.875,20808,0.32,0.51859881,3,120.864142,True,0.00497512,0,200,19,genesis,main,full
5,tipeha munah atnah munah zaqef_qatan,54,0.00259516,225.0,20808,0.24,0.50365498,3,106.739736,True,0.00497512,0,200,20,genesis,main,full
5,tipeha meteg sof_pasuq munah zaqef_qatan,58,0.00278739,232.0,20808,0.25,0.54680433,4,105.613648,True,0.00497512,0,200,21,genesis,main,full
5,merkha tipeha meteg sof_pasuq merkha,62,0.00297962,185.074627,20808,0.335,0.62024067,4,99.421084,True,0.00497512,0,200,22,genesis,main,full
5,merkha tipeha munah atnah merkha,58,0.00278739,168.115942,20808,0.345,0.58108805,3,99.219043,True,0.00497512,0,200,23,genesis,main,full
5,munah zaqef_qatan merkha tipeha munah,54,0.00259516,174.193548,20808,0.31,0.54348586,4,98.788218,True,0.00497512,0,200,24,genesis,main,full
5,tipeha atnah tipeha meteg sof_pasuq,50,0.00240292,161.290323,20808,0.31,0.5150011,3,96.485231,True,0.00497512,0,200,25,genesis,main,full
5,tipeha atnah merkha tipeha merkha,50,0.00240292,144.927536,20808,0.345,0.53610825,3,92.621219,True,0.00497512,0,200,26,genesis,main,full
5,meteg sof_pasuq merkha tipeha munah,60,0.00288351,134.831461,20808,0.445,0.64735643,4,91.997232,True,0.00497512,0,200,27,genesis,main,full
5,pashta munah zaqef_qatan tipeha meteg,62,0.00297962,156.962025,20808,0.395,0.67173742,4,91.709943,True,0.00497512,0,200,28,genesis,main,full
5,merkha meteg sof_pasuq munah zaqef_qatan,51,0.00245098,170.0,20808,0.3,0.56710496,4,89.401439,True,0.00497512,0,200,29,genesis,main,full
5,tipeha munah atnah tipeha meteg,58,0.00278739,126.086957,20808,0.46,0.64846165,4,88.733081,True,0.00497512,0,200,30,genesis,main,full
5,pashta pashta munah zaqef_qatan tipeha,46,0.00221069,184.0,20808,0.25,0.5185019,4,88.234971,True,0.00497512,0,200,31,genesis,main,full
5,tipeha merkha meteg sof_pasuq pashta,44,0.00211457,179.591837,20808,0.245,0.51604896,4,84.788466,True,0.00497512,0,200,32,genesis,main,full
5,munah atnah merkha tipeha meteg,55,0.00264321,127.906977,20808,0.43,0.65363306,4,83.487209,True,0.00497512,0,200,33,genesis,main,full
5,zaqef_qatan merkha tipeha merkha meteg,55,0.00264321,125.0,20808,0.44,0.65463174,4,83.344569,True,0.00497512,0,200,34,genesis,main,full
5,tipeha atnah tipeha merkha meteg,51,0.00245098,124.390244,20808,0.41,0.61136637,4,82.749072,True,0.00497512,0,200,35,genesis,main,full
5,pashta zaqef_qatan merkha tipeha meteg,49,0.00235486,130.666667,20808,0.375,0.62956873,4,77.235412,True,0.00497512,0,200,36,genesis,main,full
5,meteg sof_pasuq munah zaqef_qatan tipeha,41,0.0019704,149.090909,20808,0.275,0.52988574,3,76.856192,True,0.00497512,0,200,37,genesis,main,full
5,merkha tipeha munah atnah tipeha,45,0.00216263,126.760563,20808,0.355,0.58367662,4,76.489273,True,0.00497512,0,200,38,genesis,main,full
5,pashta zaqef_qatan tipeha merkha meteg,44,0.00211457,117.333333,20808,0.375,0.5709685,4,76.405266,True,0.00497512,0,200,39,genesis,main,full
5,merkha tipeha atnah munah zaqef_qatan,41,0.0019704,132.258065,20808,0.31,0.57929085,4,70.241054,True,0.00497512,0,200,40,genesis,main,full
5,tipeha atnah munah zaqef_qatan tipeha,38,0.00182622,111.764706,20808,0.34,0.56212089,4,66.996264,True,0.00497512,0,200,41,genesis,main,full
5,tipeha merkha meteg sof_pasuq meteg,42,0.00201845,110.526316,20808,0.38,0.62252525,4,66.856726,True,0.00497512,0,200,42,genesis,main,full
5,merkha tipeha munah atnah munah,36,0.0017301,114.285714,20808,0.315,0.54521675,3,65.451034,True,0.00497512,0,200,43,genesis,main,full
5,zaqef_qatan tipeha atnah merkha tipeha,36,0.0017301,100.0,20808,0.36,0.54946296,3,64.863335,True,0.00497512,0,200,44,genesis,main,full
5,zaqef_qatan munah zaqef_qatan merkha tipeha,38,0.00182622,113.432836,20808,0.335,0.58693908,4,64.171907,True,0.00497512,0,200,45,genesis,main,full
5,munah zaqef_qatan munah zaqef_qatan merkha,33,0.00158593,115.789474,20808,0.285,0.51487911,3,63.539186,True,0.00497512,0,200,46,genesis,main,full
5,merkha tipeha meteg sof_pasuq meteg,41,0.0019704,89.130435,20808,0.46,0.64066548,4,63.277952,True,0.00497512,0,200,47,genesis,main,full
5,zaqef_qatan merkha tipeha atnah munah,29,0.00139369,105.454545,20808,0.275,0.50062775,4,57.377962,True,0.00497512,0,200,48,genesis,main,full
5,pashta munah zaqef_qatan meteg merkha,30,0.00144175,120.0,20808,0.25,0.5185019,4,57.376839,True,0.00497512,0,200,49,genesis,main,full
5,munah zaqef_qatan meteg merkha tipeha,38,0.00182622,84.444444,20808,0.45,0.66309765,4,56.62816,True,0.00497512,0,200,50,genesis,main,full
6,munah zaqef_qatan tipeha merkha meteg sof_pasuq,108,0.00519056,3600.0,20807,0.03,0.1710153,2,,False,0.00497512,0,200,1,genesis,main,full
6,munah zaqef_qatan merkha tipeha meteg sof_pasuq,103,0.00495026,2942.857143,20807,0.035,0.18424094,2,,False,0.00497512,0,200,2,genesis,main,full
6,tipeha atnah merkha tipeha meteg sof_pasuq,88,0.00422935,2933.333333,20807,0.03,0.1710153,2,,False,0.00497512,0,200,3,genesis,main,full
6,atnah merkha tipeha merkha meteg sof_pasuq,87,0.00418129,3480.0,20807,0.025,0.15651673,2,,False,0.00497512,0,200,4,genesis,main,full
6,tevir merkha tipeha merkha meteg sof_pasuq,70,0.00336425,3500.0,20807,0.02,0.14035132,2,,False,0.00497512,0,200,5,genesis,main,full
6,tipeha merkha meteg sof_pasuq mahapakh pashta,69,0.00331619,13800.0,20807,0.005,0.07071068,2,,False,0.00497512,0,200,6,genesis,main,full
6,tipeha merkha meteg sof_pasuq merkha tipeha,65,0.00312395,1083.333333,20807,0.06,0.23808279,2,,False,0.00497512,0,200,7,genesis,main,full
6,pashta munah zaqef_qatan merkha tipeha atnah,64,0.00307589,1600.0,20807,0.04,0.19645092,2,,False,0.00497512,0,200,8,genesis,main,full
6,pashta munah zaqef_qatan tipeha merkha meteg,63,0.00302783,2520.0,20807,0.025,0.15651673,2,,False,0.00497512,0,200,9,genesis,main,full
6,pashta munah zaqef_qatan tipeha munah atnah,60,0.00288364,2400.0,20807,0.025,0.15651673,2,,False,0.00497512,0,200,10,genesis,main,full
6,mahapakh pashta munah zaqef_qatan merkha tipeha,58,0.00278752,inf,20807,0.0,0.0,1,,False,0.00497512,0,200,11,genesis,main,full
6,meteg sof_pasuq merkha tipeha munah atnah,56,0.0026914,1600.0,20807,0.035,0.18424094,2,,False,0.00497512,0,200,12,genesis,main,full
6,tipeha munah atnah merkha tipeha meteg,55,0.00264334,1000.0,20807,0.055,0.22855236,2,,False,0.00497512,0,200,13,genesis,main,full
6,tipeha munah atnah tipeha meteg sof_pasuq,55,0.00264334,2200.0,20807,0.025,0.15651673,2,,False,0.00497512,0,200,14,genesis,main,full
6,merkha tipeha meteg sof_pasuq mahapakh pashta,54,0.00259528,10800.0,20807,0.005,0.07071068,2,,False,0.00497512,0,200,15,genesis,main,full
6,pashta munah zaqef_qatan merkha tipeha meteg,54,0.00259528,1800.0,20807,0.03,0.1710153,2,,False,0.00497512,0,200,16,genesis,main,full
6,meteg sof_pasuq mahapakh pashta munah zaqef_qatan,53,0.00254722,10600.0,20807,0.005,0.07071068,2,,False,0.00497512,0,200,17,genesis,main,full
6,munah zaqef_qatan merkha tipeha munah atnah,53,0.00254722,2650.0,20807,0.02,0.14035132,2,,False,0.00497512,0,200,18,genesis,main,full
6,zaqef_qatan merkha tipeha merkha meteg sof_pasuq,53,0.00254722,1177.777778,20807,0.045,0.20782434,2,,False,0.00497512,0,200,19,genesis,main,full
6,munah atnah merkha tipeha meteg sof_pasuq,51,0.0024511,1133.333333,20807,0.045,0.20782434,2,,False,0.00497512,0,200,20,genesis,main,full
6,tipeha merkha meteg sof_pasuq munah zaqef_qatan,51,0.0024511,1133.333333,20807,0.045,0.20782434,2,,False,0.00497512,0,200,21,genesis,main,full
6,merkha tipeha atnah merkha tipeha meteg,50,0.00240304,2500.0,20807,0.02,0.14035132,2,,False,0.00497512,0,200,22,genesis,main,full
6,merkha tipeha meteg sof_pasuq merkha tipeha,50,0.00240304,714.285714,20807,0.07,0.27473148,3,,False,0.00497512,0,200,23,genesis,main,full
6,pashta munah zaqef_qatan tipeha meteg sof_pasuq,50,0.00240304,3333.333333,20807,0.015,0.12185748,2,,False,0.00497512,0,200,24,genesis,main,full
6,tipeha atnah merkha tipeha merkha meteg,50,0.00240304,1111.111111,20807,0.045,0.20782434,2,,False,0.00497512,0,200,25,genesis,main,full
6,tipeha atnah tipeha merkha meteg sof_pasuq,49,0.00235498,3266.666667,20807,0.015,0.12185748,2,,False,0.00497512,0,200,26,genesis,main,full
6,merkha tipeha munah atnah merkha tipeha,47,0.00225886,783.333333,20807,0.06,0.23808279,2,,False,0.00497512,0,200,27,genesis,main,full
6,tipeha meteg sof_pasuq merkha tipeha atnah,47,0.00225886,1566.666667,20807,0.03,0.1710153,2,,False,0.00497512,0,200,28,genesis,main,full
6,pashta zaqef_qatan merkha tipeha meteg sof_pasuq,46,0.00221079,1533.333333,20807,0.03,0.1710153,2,,False,0.00497512,0,200,29,genesis,main,full
6,pashta zaqef_qatan tipeha merkha meteg sof_pasuq,44,0.00211467,1466.666667,20807,0.03,0.1710153,2,,False,0.00497512,0,200,30,genesis,main,full
6,merkha tipeha merkha meteg sof_pasuq munah,43,0.00206661,661.538462,20807,0.065,0.26670331,3,,False,0.00497512,0,200,31,genesis,main,full
6,tipeha meteg sof_pasuq mahapakh pashta zaqef_qatan,43,0.00206661,8600.0,20807,0.005,0.07071068,2,,False,0.00497512,0,200,32,genesis,main,full
6,zaqef_qatan merkha tipeha atnah merkha tipeha,42,0.00201855,1680.0,20807,0.025,0.15651673,2,,False,0.00497512,0,200,33,genesis,main,full
6,mahapakh pashta zaqef_qatan merkha tipeha atnah,40,0.00192243,8000.0,20807,0.005,0.07071068,2,,False,0.00497512,0,200,34,genesis,main,full
6,merkha meteg sof_pasuq merkha tipeha atnah,40,0.00192243,2000.0,20807,0.02,0.14035132,2,,False,0.00497512,0,200,35,genesis,main,full
6,merkha meteg sof_pasuq mahapakh pashta zaqef_qatan,39,0.00187437,7800.0,20807,0.005,0.07071068,2,,False,0.00497512,0,200,36,genesis,main,full
